Classe;Rang PROMETHEE II;Désignation;UPW;Flux positif;Flux négatif;Flux net
R2;105;SIDI BEL ABBES 05;SIDI BEL ABBES;0,382;0,219;0,163
R2;106;BATNA 19;BATNA;0,368;0,206;0,162
R2;107;CONSTANTINE 34;CONSTANTINE;0,388;0,227;0,161
R2;108;BORDJ BOUARRERIDJ 06;BORDJ BOUARRERIDJ;0,369;0,208;0,161
R2;109;TEBESSA 08;TEBESSA;0,412;0,251;0,16
R2;110;OUARGLA 08;OUARGLA;0,362;0,202;0,16
R2;111;TISSEMSITL 07;TISSEMSITL;0,387;0,228;0,159
R2;112;EL BAYADH 07;EL BAYADH;0,381;0,228;0,153
R2;113;ALGER OUEST 06;ALGER OUEST;0,375;0,223;0,152
R2;114;CONSTANTINE 10;CONSTANTINE;0,344;0,192;0,152
R2;115;GUELMA 10;GUELMA;0,362;0,21;0,152
R2;116;BOUMERDES 24;BOUMERDES;0,382;0,23;0,152
R2;117;SETIF 20;SETIF;0,367;0,218;0,149
R2;118;SKIKDA 01;SKIKDA;0,356;0,211;0,145
R2;119;TIARET 21;TIARET;0,394;0,254;0,14
R2;120;ANNABA 10;ANNABA;0,37;0,23;0,14
R2;121;SKIKDA 07;SKIKDA;0,354;0,216;0,138
R2;122;ALGER EST 06;ALGER EST;0,326;0,191;0,135
R2;123;SETIF 33;SETIF;0,465;0,331;0,134
R2;124;TINDOUF 02;TINDOUF;0,348;0,215;0,133
R2;125;BOUMERDES 19;BOUMERDES;0,417;0,284;0,133
R2;126;AIN DEFLA 08;AIN DEFLA;0,361;0,228;0,133
R2;127;CHLEF 16;CHLEF;0,357;0,225;0,132
R2;128;LAGHOUAT 10;LAGHOUAT;0,373;0,242;0,132
R2;129;IN SALAH 02;IN SALAH;0,349;0,217;0,132
R2;130;MASCARA 07;MASCARA;0,374;0,242;0,132
R2;131;SETIF 16;SETIF;0,383;0,259;0,123
R2;132;TIARET 01;TIARET;0,361;0,238;0,123
R2;133;OUARGLA 12;OUARGLA;0,4;0,278;0,121
R2;134;MSILA 17;MSILA;0,424;0,303;0,121
R2;135;BISKRA 03;BISKRA;0,324;0,206;0,119
R2;136;BLIDA 29;BLIDA;0,364;0,246;0,118
R2;137;LAGHOUAT 14;LAGHOUAT;0,368;0,25;0,118
R2;138;MOSTAGANEM 13;MOSTAGANEM;0,385;0,271;0,114
R2;139;SIDI BEL ABBES 06;SIDI BEL ABBES;0,328;0,215;0,113
R2;140;CONSTANTINE 23;CONSTANTINE;0,371;0,259;0,112
R2;141;SOUK AHRAS 03;SOUK AHRAS;0,338;0,226;0,112
R2;142;SAIDA 05;SAIDA;0,345;0,233;0,112
R2;143;TIPAZA 19;TIPAZA;0,43;0,318;0,112
R2;144;GUELMA 08;GUELMA;0,351;0,241;0,11
R2;145;BOUIRA 19;BOUIRA;0,324;0,219;0,105
R2;146;SKIKDA 27;SKIKDA;0,333;0,229;0,104
R2;147;ADRAR 04;ADRAR;0,385;0,281;0,104
R2;148;RELIZANE 10;RELIZANE;0,336;0,235;0,101
R2;149;IN SALAH 01;IN SALAH;0,359;0,259;0,1
R2;150;GHARDAIA 01;GHARDAIA;0,346;0,247;0,099
R2;151;SETIF 31;SETIF;0,373;0,276;0,097
R2;152;CHLEF 24;CHLEF;0,37;0,278;0,092
R2;153;AIN TEMOUCHENT 02;AIN TEMOUCHENT;0,306;0,219;0,087
R2;154;LAGHOUAT 08;LAGHOUAT;0,311;0,225;0,086
R2;155;TIARET 17;TIARET;0,33;0,246;0,084
R2;156;JIJEL 11;JIJEL;0,298;0,217;0,08
R2;157;ALGER CENTRE 17;ALGER CENTRE;0,327;0,249;0,078
R2;158;LAGHOUAT 12;LAGHOUAT;0,32;0,242;0,078
R2;159;TLEMCEN 15;TLEMCEN;0,427;0,35;0,077
R2;160;BLIDA 15;BLIDA;0,311;0,235;0,076
R2;161;ALGER CENTRE 33;ALGER CENTRE;0,388;0,314;0,074
R2;162;CONSTANTINE 07;CONSTANTINE;0,351;0,277;0,074
R2;163;MILA 06;MILA;0,302;0,228;0,073
R2;164;TIPAZA 10;TIPAZA;0,312;0,242;0,07
R2;165;BLIDA 28;BLIDA;0,317;0,248;0,069
R2;166;RELIZANE 18;RELIZANE;0,313;0,244;0,068
R2;167;TIZI OUZOU 08;TIZI OUZOU;0,317;0,25;0,067
R2;168;MASCARA 03;MASCARA;0,302;0,235;0,067
R2;169;BECHAR 01;BECHAR;0,324;0,257;0,067
R2;170;TEBESSA 18;TEBESSA;0,311;0,245;0,066
R2;171;ALGER EST 41;ALGER EST;0,427;0,361;0,065
R2;172;ALGER OUEST 12;ALGER OUEST;0,353;0,288;0,065
R2;173;TIPAZA 04;TIPAZA;0,342;0,279;0,063
R2;174;BOUMERDES 09;BOUMERDES;0,361;0,3;0,061
R2;175;OUARGLA 02;OUARGLA;0,332;0,271;0,061
R2;176;MILA 12;MILA;0,304;0,243;0,061
R2;177;CHLEF 32;CHLEF;0,413;0,352;0,061
R2;178;MILA 11;MILA;0,325;0,266;0,059
R2;179;JIJEL 05;JIJEL;0,325;0,267;0,058
R2;180;TIARET 04;TIARET;0,345;0,287;0,058
R2;181;BORDJ BOUARRERIDJ 15;BORDJ BOUARRERIDJ;0,349;0,295;0,054
R2;182;JIJEL 17;JIJEL;0,376;0,323;0,054
R2;183;ALGER CENTRE 01;ALGER CENTRE;0,355;0,303;0,052
R2;184;OUM EL BOUAGHI 10;OUM EL BOUAGHI;0,337;0,288;0,049
R2;185;TISSEMSITL 03;TISSEMSITL;0,373;0,325;0,048
R2;186;JIJEL 03;JIJEL;0,288;0,241;0,047
R2;187;DJELFA 07;DJELFA;0,369;0,323;0,046
R2;188;ALGER EST 04;ALGER EST;0,329;0,283;0,046
R2;189;CHLEF 28;CHLEF;0,383;0,337;0,046
R2;190;ADRAR 01;ADRAR;0,378;0,332;0,045
R2;191;BOUMERDES 17;BOUMERDES;0,364;0,32;0,044
R2;192;ORAN 37;ORAN;0,311;0,271;0,04
R2;193;ORAN 14;ORAN;0,366;0,328;0,038
R2;194;BECHAR 13;BECHAR;0,33;0,293;0,037
R2;195;TISSEMSITL 04;TISSEMSITL;0,299;0,263;0,036
R2;196;BORDJ BOUARRERIDJ 12;BORDJ BOUARRERIDJ;0,3;0,265;0,035
R2;197;MSILA 03;MSILA;0,297;0,263;0,034
R2;198;MEDEA 06;MEDEA;0,299;0,266;0,033
R2;199;MEDEA 05;MEDEA;0,339;0,306;0,033
R2;200;CONSTANTINE 28;CONSTANTINE;0,305;0,275;0,03
R2;201;TIARET 23;TIARET;0,314;0,285;0,028
R2;202;OUM EL BOUAGHI 03;OUM EL BOUAGHI;0,319;0,293;0,026
R2;203;BORDJ BOUARRERIDJ 05;BORDJ BOUARRERIDJ;0,388;0,366;0,022
R2;204;BISKRA 01;BISKRA;0,31;0,288;0,022
R2;205;BATNA 07;BATNA;0,274;0,254;0,019
R2;206;CONSTANTINE 02;CONSTANTINE;0,291;0,275;0,016
R2;207;CHLEF 18;CHLEF;0,343;0,327;0,016
R2;208;JIJEL 22;JIJEL;0,316;0,301;0,015
R2;209;BORDJ BOUARRERIDJ 01;BORDJ BOUARRERIDJ;0,305;0,29;0,015
R2;210;EL TARF 03;EL TARF;0,292;0,28;0,013
R2;211;MASCARA 02;MASCARA;0,294;0,282;0,013
R2;212;DJELFA 04;DJELFA;0,363;0,352;0,012
R2;213;DJELFA 10;DJELFA;0,309;0,298;0,011
R2;214;CONSTANTINE 21;CONSTANTINE;0,332;0,322;0,01
R2;215;ORAN 08;ORAN;0,355;0,347;0,007
R2;216;JIJEL 18;JIJEL;0,33;0,322;0,007
R2;217;TEBESSA 19;TEBESSA;0,459;0,454;0,005
R2;218;EL TARF 11;EL TARF;0,308;0,304;0,004
R2;219;ALGER EST 01;ALGER EST;0,33;0,328;0,002
R2;220;BLIDA 07;BLIDA;0,277;0,277;0,0
R2;221;MSILA 01;MSILA;0,405;0,406;0,0
R2;222;KHENCHELA 05;KHENCHELA;0,304;0,305;-0,001
R2;223;ANNABA 02;ANNABA;0,303;0,304;-0,001
R2;224;BECHAR 03;BECHAR;0,298;0,303;-0,005
R2;225;BLIDA 30;BLIDA;0,306;0,312;-0,006
R2;226;EL OUED 09;EL OUED;0,313;0,32;-0,007
R2;227;TISSEMSITL 02;TISSEMSITL;0,271;0,281;-0,009
R2;228;EL OUED 08;EL OUED;0,263;0,278;-0,015
R2;229;ALGER EST 24;ALGER EST;0,32;0,337;-0,017
R2;230;CONSTANTINE 24;CONSTANTINE;0,25;0,271;-0,02
R2;231;MOSTAGANEM 09;MOSTAGANEM;0,304;0,325;-0,022
R2;232;ANNABA 01;ANNABA;0,271;0,293;-0,022
R2;233;SIDI BEL ABBES 01;SIDI BEL ABBES;0,401;0,424;-0,022
R2;234;ALGER OUEST 22;ALGER OUEST;0,29;0,313;-0,023
R2;235;ALGER EST 21;ALGER EST;0,325;0,349;-0,024
R2;236;TIARET 11;TIARET;0,352;0,376;-0,024
R2;237;TLEMCEN 03;TLEMCEN;0,3;0,324;-0,024
R2;238;MEDEA 07;MEDEA;0,285;0,309;-0,024
R2;239;CONSTANTINE 29;CONSTANTINE;0,307;0,331;-0,024
R2;240;ORAN 13;ORAN;0,301;0,33;-0,028
R2;241;JIJEL 04;JIJEL;0,304;0,333;-0,03
R2;242;CHLEF 23;CHLEF;0,268;0,298;-0,03
R2;243;CHLEF 22;CHLEF;0,286;0,318;-0,031
R2;244;BLIDA 13;BLIDA;0,261;0,293;-0,032
R2;245;CONSTANTINE 25;CONSTANTINE;0,274;0,307;-0,033
R2;246;BATNA 23;BATNA;0,322;0,356;-0,034
R2;247;ALGER CENTRE 28;ALGER CENTRE;0,29;0,326;-0,036
R2;248;BATNA 08;BATNA;0,271;0,309;-0,038
R2;249;BISKRA 04;BISKRA;0,279;0,318;-0,04
R2;250;LAGHOUAT 16;LAGHOUAT;0,256;0,295;-0,04
R2;251;GUELMA 06;GUELMA;0,254;0,294;-0,04
R2;252;BLIDA 23;BLIDA;0,272;0,317;-0,045
R2;253;SKIKDA 22;SKIKDA;0,277;0,323;-0,046
R2;254;SOUK AHRAS 01;SOUK AHRAS;0,249;0,298;-0,049
R2;255;TEBESSA 25;TEBESSA;0,247;0,297;-0,05
R2;256;SAIDA 10;SAIDA;0,274;0,325;-0,051
R2;257;MILA 10;MILA;0,286;0,34;-0,054
R2;258;ORAN 25;ORAN;0,303;0,357;-0,054
R2;259;ANNABA 04;ANNABA;0,272;0,327;-0,055
R2;260;BECHAR 04;BECHAR;0,258;0,313;-0,056
R2;261;BORDJ BOUARRERIDJ 16;BORDJ BOUARRERIDJ;0,249;0,305;-0,056
R2;262;MILA 13;MILA;0,306;0,365;-0,059
R2;263;MOSTAGANEM 20;MOSTAGANEM;0,273;0,332;-0,059
R2;264;GHARDAIA 05;GHARDAIA;0,282;0,341;-0,059
R2;265;TIARET 02;TIARET;0,305;0,365;-0,06
R2;266;CONSTANTINE 27;CONSTANTINE;0,233;0,294;-0,061
R2;267;SAIDA 06;SAIDA;0,264;0,325;-0,061
R2;268;BEJAIA 17;BEJAIA;0,27;0,333;-0,063
R2;269;GUELMA 11;GUELMA;0,269;0,332;-0,063
R2;270;SKIKDA 25;SKIKDA;0,268;0,331;-0,064
R2;271;JIJEL 20;JIJEL;0,237;0,303;-0,066
R2;272;KHENCHELA 13;KHENCHELA;0,273;0,341;-0,068
R2;273;TIARET 14;TIARET;0,27;0,34;-0,07
R2;274;DJELFA 03;DJELFA;0,297;0,368;-0,071
R2;275;CONSTANTINE 05;CONSTANTINE;0,242;0,314;-0,072
R2;276;CONSTANTINE 04;CONSTANTINE;0,283;0,357;-0,074
R2;277;AIN DEFLA 06;AIN DEFLA;0,27;0,346;-0,076
R2;278;JIJEL 12;JIJEL;0,275;0,352;-0,077
R2;279;KHENCHELA 03;KHENCHELA;0,236;0,315;-0,078
R2;280;DJELFA 16;DJELFA;0,291;0,37;-0,079
R2;281;CHLEF 17;CHLEF;0,315;0,395;-0,079
R2;282;ALGER EST 08;ALGER EST;0,275;0,355;-0,079
R2;283;CONSTANTINE 06;CONSTANTINE;0,261;0,342;-0,081
R2;284;CONSTANTINE 12;CONSTANTINE;0,253;0,336;-0,083
R2;285;BOUMERDES 21;BOUMERDES;0,243;0,331;-0,088
R2;286;ALGER EST 27;ALGER EST;0,261;0,349;-0,088
R2;287;BLIDA 03;BLIDA;0,238;0,326;-0,089
R2;288;RELIZANE 11;RELIZANE;0,252;0,344;-0,092
R2;289;TEBESSA 13;TEBESSA;0,261;0,355;-0,094
R2;290;SIDI BEL ABBES 14;SIDI BEL ABBES;0,261;0,356;-0,094
R2;291;SKIKDA 24;SKIKDA;0,297;0,391;-0,094
R2;292;ADRAR 06;ADRAR;0,265;0,362;-0,097
R2;293;TEBESSA 12;TEBESSA;0,264;0,362;-0,098
R2;294;CONSTANTINE 22;CONSTANTINE;0,237;0,335;-0,099
R2;295;MILA 15;MILA;0,254;0,353;-0,099
R2;296;EL OUED 04;EL OUED;0,274;0,373;-0,1
R2;297;ALGER EST 15;ALGER EST;0,236;0,338;-0,102
R2;298;DJELFA 09;DJELFA;0,271;0,375;-0,103
R2;299;MOSTAGANEM 03;MOSTAGANEM;0,243;0,349;-0,107
R2;300;ORAN 21;ORAN;0,244;0,352;-0,107
R2;301;TLEMCEN 14;TLEMCEN;0,25;0,357;-0,108
R2;302;TOUGGOURT 05;TOUGGOURT;0,233;0,343;-0,11
R2;303;OUARGLA 06;OUARGLA;0,217;0,327;-0,11
R2;304;ORAN 11;ORAN;0,342;0,453;-0,11
R2;305;OUM EL BOUAGHI 07;OUM EL BOUAGHI;0,286;0,398;-0,112
R2;306;CONSTANTINE 11;CONSTANTINE;0,235;0,349;-0,113
R2;307;MEDEA 01;MEDEA;0,219;0,337;-0,118
R2;308;BOUIRA 06;BOUIRA;0,229;0,349;-0,12
R2;309;BECHAR 07;BECHAR;0,296;0,42;-0,124
R2;310;MSILA 07;MSILA;0,251;0,376;-0,126
R2;311;TIZI OUZOU 12;TIZI OUZOU;0,248;0,375;-0,127
R2;312;JIJEL 24;JIJEL;0,241;0,369;-0,128
R2;313;SKIKDA 14;SKIKDA;0,227;0,357;-0,13
R2;314;MOSTAGANEM 14;MOSTAGANEM;0,269;0,399;-0,131
R2;315;CHLEF 25;CHLEF;0,235;0,369;-0,134
R2;316;CHLEF 27;CHLEF;0,261;0,396;-0,135
R2;317;ALGER EST 22;ALGER EST;0,246;0,383;-0,137
R2;318;CONSTANTINE 32;CONSTANTINE;0,224;0,362;-0,137
R2;319;BORDJ BOUARRERIDJ 14;BORDJ BOUARRERIDJ;0,248;0,386;-0,138
R2;320;KHENCHELA 12;KHENCHELA;0,246;0,388;-0,141
R2;321;SETIF 25;SETIF;0,255;0,4;-0,145
R2;322;TIARET 22;TIARET;0,24;0,388;-0,148
R2;323;ANNABA 13;ANNABA;0,251;0,401;-0,149
R2;324;BOUIRA 04;BOUIRA;0,222;0,373;-0,151
R2;325;BECHAR 12;BECHAR;0,219;0,371;-0,152
R2;326;MASCARA 23;MASCARA;0,21;0,363;-0,153
R2;327;MSILA 12;MSILA;0,228;0,382;-0,154
R2;328;EL BAYADH 06;EL BAYADH;0,232;0,387;-0,155
R2;329;MOSTAGANEM 07;MOSTAGANEM;0,225;0,381;-0,156
R2;330;OUM EL BOUAGHI 01;OUM EL BOUAGHI;0,234;0,391;-0,157
R2;331;TEBESSA 16;TEBESSA;0,22;0,377;-0,157
R2;332;LAGHOUAT 13;LAGHOUAT;0,226;0,384;-0,158
R2;333;TIZI OUZOU 11;TIZI OUZOU;0,243;0,402;-0,16
R2;334;ALGER EST 09;ALGER EST;0,262;0,422;-0,16
R2;335;ORAN 26;ORAN;0,207;0,367;-0,16
R2;336;ANNABA 15;ANNABA;0,225;0,387;-0,161
R2;337;MSILA 08;MSILA;0,22;0,383;-0,163
R2;338;BATNA 14;BATNA;0,245;0,408;-0,164
R2;339;BLIDA 14;BLIDA;0,245;0,41;-0,165
R2;340;SIDI BEL ABBES 13;SIDI BEL ABBES;0,221;0,388;-0,167
R2;341;TIARET 03;TIARET;0,216;0,384;-0,168
R2;342;BATNA 21;BATNA;0,217;0,388;-0,171
R2;343;JIJEL 23;JIJEL;0,263;0,434;-0,171
R2;344;EL TARF 04;EL TARF;0,225;0,398;-0,172
R2;345;SETIF 17;SETIF;0,202;0,376;-0,174
R2;346;SKIKDA 21;SKIKDA;0,193;0,37;-0,176
R2;347;ORAN 20;ORAN;0,255;0,432;-0,177
R2;348;ALGER EST 34;ALGER EST;0,189;0,367;-0,177
R2;349;CHLEF 08;CHLEF;0,201;0,38;-0,179
R2;350;MASCARA 20;MASCARA;0,22;0,399;-0,179
R2;351;BATNA 22;BATNA;0,216;0,396;-0,18
R2;352;SAIDA 01;SAIDA;0,22;0,404;-0,183
R2;353;TIZI OUZOU 04;TIZI OUZOU;0,187;0,373;-0,187
R2;354;SETIF 15;SETIF;0,236;0,425;-0,188
R2;355;BOUMERDES 13;BOUMERDES;0,252;0,442;-0,19
R2;356;SOUK AHRAS 04;SOUK AHRAS;0,221;0,411;-0,191
R2;357;SOUK AHRAS 10;SOUK AHRAS;0,218;0,411;-0,193
R2;358;ORAN 24;ORAN;0,243;0,438;-0,194
R2;359;MEDEA 08;MEDEA;0,201;0,399;-0,198
R2;360;KHENCHELA 09;KHENCHELA;0,212;0,411;-0,199
R2;361;TIMIMOUN 02;TIMIMOUN;0,256;0,456;-0,2
R2;362;BOUMERDES 08;BOUMERDES;0,207;0,408;-0,201
R2;363;SKIKDA 23;SKIKDA;0,204;0,406;-0,202
R2;364;MSILA 10;MSILA;0,2;0,403;-0,203
R2;365;BEJAIA 19;BEJAIA;0,202;0,409;-0,207
R2;366;TEBESSA 03;TEBESSA;0,218;0,427;-0,209
R2;367;OUM EL BOUAGHI 17;OUM EL BOUAGHI;0,212;0,423;-0,211
R2;368;TOUGGOURT 07;TOUGGOURT;0,208;0,42;-0,212
R2;369;RELIZANE 19;RELIZANE;0,193;0,405;-0,212
R2;370;DJELFA 18;DJELFA;0,233;0,448;-0,214
R2;371;CHLEF 26;CHLEF;0,205;0,423;-0,218
R2;372;CONSTANTINE 17;CONSTANTINE;0,205;0,428;-0,222
R2;373;CHLEF 29;CHLEF;0,201;0,424;-0,223
R2;374;CHLEF 30;CHLEF;0,184;0,407;-0,223
R2;375;BOUIRA 18;BOUIRA;0,223;0,449;-0,226
R2;376;BATNA 06;BATNA;0,208;0,434;-0,226
R2;377;TAMANRASSET 04;TAMANRASSET;0,241;0,468;-0,227
R2;378;TIARET 07;TIARET;0,191;0,421;-0,23
R2;379;BOUMERDES 25;BOUMERDES;0,226;0,456;-0,23
R2;380;MILA 09;MILA;0,182;0,419;-0,237
R2;381;CONSTANTINE 09;CONSTANTINE;0,172;0,412;-0,24
R2;382;SKIKDA 04;SKIKDA;0,206;0,446;-0,24
R2;383;EL BAYADH 01;EL BAYADH;0,223;0,463;-0,24
R2;384;BEJAIA 04;BEJAIA;0,202;0,443;-0,24
R2;385;ORAN 19;ORAN;0,189;0,43;-0,241
R2;386;SKIKDA 12;SKIKDA;0,18;0,423;-0,243
R2;387;MASCARA 05;MASCARA;0,184;0,429;-0,245
R2;388;BISKRA 07;BISKRA;0,174;0,419;-0,246
R2;389;BISKRA 02;BISKRA;0,186;0,433;-0,247
R2;390;SOUK AHRAS 16;SOUK AHRAS;0,265;0,516;-0,251
R2;391;TIZI OUZOU 13;TIZI OUZOU;0,21;0,461;-0,252
R2;392;JIJEL 16;JIJEL;0,203;0,456;-0,253
R2;393;ORAN 07;ORAN;0,206;0,461;-0,255
R2;394;BOUIRA 05;BOUIRA;0,18;0,439;-0,259
R2;395;DJELFA 06;DJELFA;0,19;0,452;-0,262
R2;396;MILA 08;MILA;0,188;0,451;-0,264
R2;397;SOUK AHRAS 09;SOUK AHRAS;0,171;0,434;-0,264
R2;398;BATNA 13;BATNA;0,198;0,464;-0,266
R2;399;SKIKDA 20;SKIKDA;0,182;0,45;-0,268
R2;400;BOUIRA 15;BOUIRA;0,213;0,483;-0,27
R2;401;BECHAR 06;BECHAR;0,187;0,462;-0,276
R2;402;GUELMA 05;GUELMA;0,197;0,475;-0,278
R2;403;CHLEF 11;CHLEF;0,189;0,468;-0,279
R2;404;TEBESSA 06;TEBESSA;0,29;0,573;-0,283
R2;405;ANNABA 16;ANNABA;0,172;0,459;-0,287
R2;406;TAMANRASSET 01;TAMANRASSET;0,171;0,459;-0,287
R2;407;ORAN 05;ORAN;0,163;0,478;-0,314
R2;408;ALGER OUEST 18;ALGER OUEST;0,157;0,477;-0,32
R2;409;TIARET 16;TIARET;0,157;0,479;-0,321
R2;410;TIARET 13;TIARET;0,176;0,499;-0,323
R2;411;MOSTAGANEM 24;MOSTAGANEM;0,183;0,507;-0,324
R2;412;BATNA 10;BATNA;0,194;0,525;-0,331
R2;413;TIZI OUZOU 02;TIZI OUZOU;0,157;0,506;-0,349
R2;414;BEJAIA 13;BEJAIA;0,236;0,587;-0,351
R2;415;CONSTANTINE 26;CONSTANTINE;0,162;0,516;-0,353
R2;416;ANNABA 17;ANNABA;0,153;0,51;-0,358
R2;417;SOUK AHRAS 05;SOUK AHRAS;0,145;0,505;-0,36
R2;418;TINDOUF 03;TINDOUF;0,15;0,51;-0,36
R2;419;KHENCHELA 01;KHENCHELA;0,154;0,515;-0,361
R2;420;SETIF 12;SETIF;0,148;0,515;-0,367
R2;421;CONSTANTINE 08;CONSTANTINE;0,147;0,523;-0,376
R2;422;AIN DEFLA 09;AIN DEFLA;0,12;0,497;-0,377
R2;423;ALGER OUEST 20;ALGER OUEST;0,158;0,537;-0,379
R2;424;EL TARF 02;EL TARF;0,152;0,53;-0,379
R2;425;SOUK AHRAS 07;SOUK AHRAS;0,182;0,566;-0,383
R2;426;GUELMA 03;GUELMA;0,126;0,514;-0,388
R2;427;GUELMA 04;GUELMA;0,135;0,528;-0,394
R2;428;CONSTANTINE 03;CONSTANTINE;0,123;0,554;-0,431
R2;429;TIZI OUZOU 03;TIZI OUZOU;0,131;0,588;-0,457
R2;430;CHLEF 09;CHLEF;0,123;0,597;-0,474
R2;431;TLEMCEN 07;TLEMCEN;0,112;0,6;-0,489
R2;432;BLIDA 16;BLIDA;0,121;0,631;-0,51
R2;433;TIZI OUZOU 16;TIZI OUZOU;0,102;0,626;-0,523
R2;434;EL TARF 10;EL TARF;0,106;0,65;-0,544
R2;435;TAMANRASSET 03;TAMANRASSET;0,089;0,663;-0,574
R2;436;TAMANRASSET 02;TAMANRASSET;0,086;0,665;-0,579
R2;437;ALGER EST 19;ALGER EST;0,068;0,68;-0,612
R3;1;MOSTAGANEM 12;MOSTAGANEM;0,567;0,116;0,451
R3;2;MILA 16;MILA;0,546;0,108;0,438
R3;3;CONSTANTINE 30;CONSTANTINE;0,513;0,075;0,438
R3;4;CONSTANTINE 31;CONSTANTINE;0,512;0,087;0,425
R3;5;SETIF 28;SETIF;0,52;0,098;0,422
R3;6;BLIDA 19;BLIDA;0,523;0,12;0,403
R3;7;LAGHOUAT 11;LAGHOUAT;0,562;0,166;0,396
R3;8;EL TARF 09;EL TARF;0,528;0,132;0,396
R3;9;BOUIRA 21;BOUIRA;0,511;0,128;0,383
R3;10;ANNABA 19;ANNABA;0,485;0,104;0,381
R3;11;SKIKDA 17;SKIKDA;0,498;0,126;0,372
R3;12;TIPAZA 13;TIPAZA;0,522;0,153;0,369
R3;13;ALGER EST 02;ALGER EST;0,472;0,113;0,359
R3;14;MOSTAGANEM 02;MOSTAGANEM;0,473;0,114;0,359
R3;15;DJELFA 12;DJELFA;0,526;0,172;0,354
R3;16;LAGHOUAT 06;LAGHOUAT;0,46;0,116;0,344
R3;17;SETIF 11;SETIF;0,528;0,191;0,338
R3;18;AIN DEFLA 17;AIN DEFLA;0,447;0,11;0,336
R3;19;AIN DEFLA 15;AIN DEFLA;0,516;0,184;0,333
R3;20;TIARET 26;TIARET;0,429;0,107;0,322
R3;21;BATNA 16;BATNA;0,431;0,126;0,305
R3;22;BECHAR 10;BECHAR;0,433;0,145;0,288
R3;23;MOSTAGANEM 25;MOSTAGANEM;0,409;0,125;0,284
R3;24;KHENCHELA 11;KHENCHELA;0,425;0,146;0,279
R3;25;TIPAZA 03;TIPAZA;0,474;0,197;0,277
R3;26;DJELFA 13;DJELFA;0,397;0,125;0,272
R3;27;SETIF 03;SETIF;0,521;0,251;0,27
R3;28;MEDEA 11;MEDEA;0,482;0,213;0,268
R3;29;ORAN 30;ORAN;0,422;0,157;0,265
R3;30;KHENCHELA 04;KHENCHELA;0,396;0,143;0,252
R3;31;BLIDA 12;BLIDA;0,448;0,206;0,242
R3;32;OUM EL BOUAGHI 15;OUM EL BOUAGHI;0,423;0,181;0,242
R3;33;OUARGLA 15;OUARGLA;0,429;0,193;0,236
R3;34;AIN DEFLA 12;AIN DEFLA;0,444;0,209;0,235
R3;35;TLEMCEN 13;TLEMCEN;0,478;0,245;0,233
R3;36;JIJEL 07;JIJEL;0,385;0,152;0,233
R3;37;SKIKDA 13;SKIKDA;0,4;0,169;0,231
R3;38;TIPAZA 20;TIPAZA;0,433;0,203;0,229
R3;39;MEDEA 13;MEDEA;0,436;0,213;0,224
R3;40;LAGHOUAT 04;LAGHOUAT;0,426;0,205;0,222
R3;41;MOSTAGANEM 15;MOSTAGANEM;0,432;0,216;0,216
R3;42;MSILA 18;MSILA;0,426;0,213;0,213
R3;43;SAIDA 07;SAIDA;0,435;0,227;0,208
R3;44;SETIF 34;SETIF;0,385;0,178;0,207
R3;45;ORAN 10;ORAN;0,387;0,18;0,206
R3;46;BOUMERDES 22;BOUMERDES;0,424;0,225;0,199
R3;47;SETIF 27;SETIF;0,398;0,204;0,195
R3;48;BECHAR 14;BECHAR;0,376;0,181;0,194
R3;49;MSILA 02;MSILA;0,429;0,235;0,194
R3;50;TISSEMSITL 08;TISSEMSITL;0,361;0,168;0,193
R3;51;RELIZANE 13;RELIZANE;0,367;0,183;0,184
R3;52;TIPAZA 12;TIPAZA;0,413;0,229;0,184
R3;53;TIARET 06;TIARET;0,383;0,212;0,171
R3;54;SOUK AHRAS 13;SOUK AHRAS;0,407;0,246;0,161
R3;55;MEDEA 09;MEDEA;0,419;0,265;0,155
R3;56;BOUIRA 03;BOUIRA;0,393;0,24;0,153
R3;57;TOUGGOURT 01;TOUGGOURT;0,361;0,212;0,15
R3;58;SKIKDA 29;SKIKDA;0,397;0,249;0,148
R3;59;SKIKDA 18;SKIKDA;0,411;0,264;0,146
R3;60;SKIKDA 08;SKIKDA;0,421;0,278;0,142
R3;61;TIPAZA 08;TIPAZA;0,367;0,225;0,142
R3;62;MOSTAGANEM 01;MOSTAGANEM;0,359;0,223;0,136
R3;63;MASCARA 09;MASCARA;0,341;0,216;0,124
R3;64;TEBESSA 10;TEBESSA;0,372;0,249;0,123
R3;65;MOSTAGANEM 04;MOSTAGANEM;0,332;0,209;0,123
R3;66;DJELFA 19;DJELFA;0,396;0,274;0,122
R3;67;SOUK AHRAS 02;SOUK AHRAS;0,366;0,247;0,12
R3;68;SIDI BEL ABBES 04;SIDI BEL ABBES;0,405;0,289;0,116
R3;69;ALGER EST 37;ALGER EST;0,315;0,202;0,113
R3;70;BLIDA 02;BLIDA;0,349;0,238;0,111
R3;71;RELIZANE 06;RELIZANE;0,337;0,232;0,105
R3;72;OUARGLA 07;OUARGLA;0,426;0,323;0,104
R3;73;DJELFA 01;DJELFA;0,341;0,24;0,101
R3;74;ALGER EST 31;ALGER EST;0,32;0,223;0,097
R3;75;AIN DEFLA 10;AIN DEFLA;0,31;0,214;0,096
R3;76;TOUGGOURT 02;TOUGGOURT;0,327;0,235;0,092
