Classe;Rang PROMETHEE II;Désignation;UPW;Flux positif;Flux négatif;Flux net
HC;40;ALGER CENTRE 06;ALGER CENTRE;0,237;0,333;-0,096
HC;41;ALGER CENTRE 27;ALGER CENTRE;0,247;0,349;-0,102
HC;42;ALGER CENTRE 30;ALGER CENTRE;0,252;0,36;-0,109
HC;43;MEDEA 10;MEDEA;0,255;0,373;-0,118
HC;44;ALGER CENTRE 02;ALGER CENTRE;0,243;0,362;-0,118
HC;45;CONSTANTINE 19;CONSTANTINE;0,236;0,354;-0,118
HC;46;GHARDAIA 03;GHARDAIA;0,239;0,361;-0,122
HC;47;ALGER CENTRE 04;ALGER CENTRE;0,246;0,397;-0,151
HC;48;TOUGGOURT 06;TOUGGOURT;0,224;0,384;-0,16
HC;49;ALGER CENTRE 11;ALGER CENTRE;0,197;0,365;-0,168
HC;50;ORAN 09;ORAN;0,223;0,397;-0,174
HC;51;CHLEF 21;CHLEF;0,244;0,421;-0,177
HC;52;ALGER CENTRE 13;ALGER CENTRE;0,213;0,394;-0,181
HC;53;TINDOUF 01;TINDOUF;0,251;0,435;-0,184
HC;54;OUM EL BOUAGHI 05;OUM EL BOUAGHI;0,218;0,451;-0,234
HC;55;ALGER OUEST 10;ALGER OUEST;0,23;0,496;-0,266
HC;56;SAIDA 09;SAIDA;0,152;0,431;-0,279
HC;57;ILLIZI 03;ILLIZI;0,21;0,521;-0,311
HC;58;ORAN 40;ORAN;0,203;0,53;-0,327
HC;59;ALGER CENTRE 08;ALGER CENTRE;0,142;0,482;-0,34
HC;60;KHENCHELA 10;KHENCHELA;0,149;0,49;-0,341
HC;61;BLIDA 20;BLIDA;0,133;0,535;-0,402
R1;1;SKIKDA 09;SKIKDA;0,584;0,074;0,511
R1;2;BORDJ BOUARRERIDJ 08;BORDJ BOUARRERIDJ;0,587;0,109;0,478
R1;3;MILA 14;MILA;0,547;0,078;0,469
R1;4;GUELMA 02;GUELMA;0,557;0,104;0,453
R1;5;BOUMERDES 18;BOUMERDES;0,569;0,136;0,433
R1;6;ILLIZI 04;ILLIZI;0,56;0,128;0,433
R1;7;ALGER OUEST 24;ALGER OUEST;0,581;0,152;0,429
R1;8;GUELMA 12;GUELMA;0,523;0,111;0,412
R1;9;OUARGLA 09;OUARGLA;0,544;0,176;0,368
R1;10;BEJAIA 09;BEJAIA;0,521;0,156;0,365
R1;11;EL OUED 02;EL OUED;0,48;0,137;0,343
R1;12;BORDJ BOUARRERIDJ 02;BORDJ BOUARRERIDJ;0,512;0,193;0,319
R1;13;MILA 02;MILA;0,439;0,126;0,313
R1;14;SETIF 18;SETIF;0,474;0,177;0,297
R1;15;LAGHOUAT 15;LAGHOUAT;0,46;0,184;0,277
R1;16;EL OUED 07;EL OUED;0,437;0,164;0,273
R1;17;ORAN 41;ORAN;0,492;0,229;0,263
R1;18;MILA 04;MILA;0,45;0,188;0,262
R1;19;ALGER OUEST 08;ALGER OUEST;0,437;0,176;0,261
R1;20;RELIZANE 16;RELIZANE;0,442;0,189;0,253
R1;21;BOUMERDES 12;BOUMERDES;0,389;0,143;0,246
R1;22;BOUIRA 16;BOUIRA;0,529;0,298;0,231
R1;23;TISSEMSITL 01;TISSEMSITL;0,424;0,193;0,23
R1;24;MSILA 16;MSILA;0,397;0,17;0,227
R1;25;EL TARF 06;EL TARF;0,402;0,185;0,217
R1;26;MOSTAGANEM 19;MOSTAGANEM;0,518;0,302;0,216
R1;27;BOUMERDES 10;BOUMERDES;0,41;0,198;0,212
R1;28;LAGHOUAT 17;LAGHOUAT;0,493;0,29;0,203
R1;29;MOSTAGANEM 05;MOSTAGANEM;0,414;0,213;0,201
R1;30;ALGER CENTRE 07;ALGER CENTRE;0,398;0,198;0,2
R1;31;BATNA 01;BATNA;0,369;0,17;0,199
R1;32;DJELFA 14;DJELFA;0,431;0,238;0,193
R1;33;EL OUED 05;EL OUED;0,376;0,185;0,192
R1;34;BLIDA 25;BLIDA;0,396;0,206;0,19
R1;35;SETIF 06;SETIF;0,391;0,201;0,189
R1;36;TIARET 08;TIARET;0,376;0,188;0,188
R1;37;RELIZANE 02;RELIZANE;0,416;0,233;0,183
R1;38;SAIDA 08;SAIDA;0,352;0,171;0,181
R1;39;BATNA 05;BATNA;0,374;0,199;0,175
R1;40;CONSTANTINE 13;CONSTANTINE;0,372;0,2;0,173
R1;41;ALGER EST 05;ALGER EST;0,39;0,226;0,164
R1;42;BATNA 15;BATNA;0,384;0,221;0,163
R1;43;TLEMCEN 11;TLEMCEN;0,37;0,215;0,155
R1;44;BECHAR 09;BECHAR;0,351;0,202;0,149
R1;45;ALGER CENTRE 10;ALGER CENTRE;0,368;0,222;0,146
R1;46;SETIF 04;SETIF;0,359;0,217;0,142
R1;47;BOUIRA 13;BOUIRA;0,457;0,315;0,142
R1;48;ALGER OUEST 02;ALGER OUEST;0,376;0,24;0,137
R1;49;CHLEF 20;CHLEF;0,422;0,289;0,133
R1;50;SKIKDA 15;SKIKDA;0,437;0,312;0,125
R1;51;SIDI BEL ABBES 10;SIDI BEL ABBES;0,37;0,248;0,121
R1;52;TIZI OUZOU 09;TIZI OUZOU;0,41;0,292;0,117
R1;53;MEDEA 17;MEDEA;0,34;0,227;0,113
R1;54;BATNA 18;BATNA;0,367;0,257;0,11
R1;55;ALGER EST 36;ALGER EST;0,389;0,28;0,109
R1;56;MOSTAGANEM 17;MOSTAGANEM;0,343;0,235;0,108
R1;57;BLIDA 22;BLIDA;0,426;0,32;0,105
R1;58;ALGER EST 16;ALGER EST;0,352;0,248;0,104
R1;59;MILA 03;MILA;0,341;0,238;0,103
R1;60;ALGER EST 35;ALGER EST;0,393;0,294;0,099
R1;61;OUM EL BOUAGHI 12;OUM EL BOUAGHI;0,378;0,28;0,098
R1;62;SETIF 21;SETIF;0,351;0,256;0,094
R1;63;NAAMA 02;NAAMA;0,381;0,288;0,092
R1;64;ORAN 17;ORAN;0,379;0,287;0,092
R1;65;BATNA 02;BATNA;0,379;0,288;0,092
R1;66;ALGER EST 10;ALGER EST;0,359;0,28;0,078
R1;67;TISSEMSITL 05;TISSEMSITL;0,344;0,273;0,071
R1;68;TLEMCEN 08;TLEMCEN;0,412;0,341;0,071
R1;69;ANNABA 14;ANNABA;0,355;0,284;0,071
R1;70;ALGER OUEST 07;ALGER OUEST;0,333;0,266;0,067
