Classe;Désignation;UPW;Score DEA;Rang DEA;Flux net PROMETHEE II;Rang PROMETHEE II;Écart de rang;Profil
CE;Agency_918;UPW_049;0,426;47;-0,206;41;6;Faibles sur les deux approches
CE;Agency_893;UPW_047;0,42;48;-0,325;49;1;Faibles sur les deux approches
CE;Agency_834;UPW_044;0,404;49;-0,284;45;4;Faibles sur les deux approches
CE;Agency_093;UPW_004;0,292;50;-0,154;36;14;Faibles sur les deux approches
CE;Agency_091;UPW_004;0,15;51;-0,642;51;0;Faibles sur les deux approches
CE;Agency_374;UPW_019;1,0;1;0,471;2;1;Performantes sur les deux dimensions
CE;Agency_079;UPW_003;1,0;2;0,329;5;3;Performantes sur les deux dimensions
CE;Agency_935;UPW_055;1,0;3;0,316;7;4;Performantes sur les deux dimensions
CE;Agency_686;UPW_035;1,0;4;0,278;10;6;Performantes sur les deux dimensions
CE;Agency_603;UPW_005;1,0;5;0,129;15;10;Performantes sur les deux dimensions
CE;Agency_277;UPW_015;0,901;6;0,556;1;5;Performantes sur les deux dimensions
CE;Agency_785;UPW_041;0,848;8;0,376;3;5;Performantes sur les deux dimensions
CE;Agency_650;UPW_033;0,818;9;0,274;11;2;Performantes sur les deux dimensions
CE;Agency_491;UPW_025;0,799;10;0,282;9;1;Performantes sur les deux dimensions
CE;Agency_284;UPW_016;0,753;11;0,055;20;9;Performantes sur les deux dimensions
CE;Agency_176;UPW_010;0,737;12;0,349;4;8;Performantes sur les deux dimensions
CE;Agency_018;UPW_006;0,722;13;0,285;8;5;Performantes sur les deux dimensions
CE;Agency_157;UPW_008;0,72;14;0,076;19;5;Performantes sur les deux dimensions
CE;Agency_859;UPW_045;0,685;15;0,203;12;3;Performantes sur les deux dimensions
CE;Agency_419;UPW_005;0,68;16;0,16;13;3;Performantes sur les deux dimensions
CE;Agency_552;UPW_005;0,679;17;0,095;17;0;Performantes sur les deux dimensions
CE;Agency_239;UPW_013;0,652;18;0,126;16;2;Performantes sur les deux dimensions
CE;Agency_591;UPW_002;0,651;19;0,013;24;5;Performantes sur les deux dimensions
CE;Agency_764;UPW_040;0,645;20;0,078;18;2;Performantes sur les deux dimensions
CE;Agency_870;UPW_046;0,625;23;-0,001;26;3;Performantes sur les deux dimensions
CE;Agency_012;UPW_001;0,606;25;0,318;6;19;Performantes sur les deux dimensions
CE;Agency_244;UPW_014;0,584;26;0,038;21;5;Performantes sur les deux dimensions
HC;Agency_718;UPW_038;0,802;17;-0,327;58;41;Efficientes mais faibles sur le plan multicritère
HC;Agency_937;UPW_056;0,801;18;-0,16;48;30;Efficientes mais faibles sur le plan multicritère
HC;Agency_315;UPW_052;0,799;20;-0,033;32;12;Efficientes mais faibles sur le plan multicritère
HC;Agency_601;UPW_052;0,79;22;-0,052;34;12;Efficientes mais faibles sur le plan multicritère
HC;Agency_104;UPW_004;0,734;25;-0,084;39;14;Efficientes mais faibles sur le plan multicritère
HC;Agency_355;UPW_018;0,682;30;-0,118;45;15;Efficientes mais faibles sur le plan multicritère
HC;Agency_671;UPW_034;0,636;32;0,09;22;10;Faibles en DEA mais mieux classées en PROMETHEE II
HC;Agency_925;UPW_052;0,629;34;0,092;21;13;Faibles en DEA mais mieux classées en PROMETHEE II
HC;Agency_086;UPW_010;0,601;38;0,148;16;22;Faibles en DEA mais mieux classées en PROMETHEE II
HC;Agency_568;UPW_028;0,586;41;0,02;27;14;Faibles en DEA mais mieux classées en PROMETHEE II
HC;Agency_283;UPW_002;0,52;46;0,078;23;23;Faibles en DEA mais mieux classées en PROMETHEE II
HC;Agency_928;UPW_053;0,467;51;0,034;25;26;Faibles en DEA mais mieux classées en PROMETHEE II
HC;Agency_705;UPW_040;0,631;33;-0,058;35;2;Faibles sur les deux approches
HC;Agency_443;UPW_004;0,612;35;-0,066;38;3;Faibles sur les deux approches
HC;Agency_553;UPW_004;0,609;36;-0,102;41;5;Faibles sur les deux approches
HC;Agency_105;UPW_004;0,605;37;-0,181;52;15;Faibles sur les deux approches
HC;Agency_797;UPW_042;0,598;39;-0,279;56;17;Faibles sur les deux approches
HC;Agency_481;UPW_024;0,598;40;-0,122;46;6;Faibles sur les deux approches
HC;Agency_621;UPW_013;0,568;42;-0,402;61;19;Faibles sur les deux approches
HC;Agency_512;UPW_051;0,561;43;-0,184;53;10;Faibles sur les deux approches
HC;Agency_449;UPW_029;0,527;44;-0,061;36;8;Faibles sur les deux approches
HC;Agency_098;UPW_004;0,524;45;-0,34;59;14;Faibles sur les deux approches
HC;Agency_102;UPW_004;0,519;47;-0,168;49;2;Faibles sur les deux approches
HC;Agency_560;UPW_026;0,513;48;-0,311;57;9;Faibles sur les deux approches
HC;Agency_598;UPW_030;0,49;49;-0,341;60;11;Faibles sur les deux approches
HC;Agency_092;UPW_004;0,474;50;-0,151;47;3;Faibles sur les deux approches
HC;Agency_699;UPW_037;0,45;52;-0,036;33;19;Faibles sur les deux approches
HC;Agency_690;UPW_004;0,432;53;-0,109;42;11;Faibles sur les deux approches
